"hemland","anläggningstyp","Antal gästnätter 2008","Antal gästnätter 2009","Antal gästnätter 2010","Antal gästnätter 2011","Antal gästnätter 2012","Antal gästnätter 2013","Antal gästnätter 2014","Antal gästnätter 2015","Gästnätter i procent 2008","Gästnätter i procent 2009","Gästnätter i procent 2010","Gästnätter i procent 2011","Gästnätter i procent 2012","Gästnätter i procent 2013","Gästnätter i procent 2014","Gästnätter i procent 2015"
"Totalt, alla hemländer","Hotell",25872607,25958480,27337915,27990060,28566091,29432574,31073612,33517878,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Totalt, alla hemländer","Stugbyar",3446157,3279235,3301112,2955902,2892530,2662929,2842701,2974759,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Totalt, alla hemländer","Vandrarhem",2883890,2927891,2936625,3028071,3092143,3118074,3317090,3558942,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Totalt, alla hemländer","Camping",13724923,14476290,14324646,14448640,14035208,14496850,15046968,15560268,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Totalt, alla hemländer","SoL",4169811,4369110,4505736,4201335,4104510,4025347,4120848,4417213,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Sverige","Hotell",20042193,19871384,20974841,21457982,21915646,22557815,23652182,25116876,77.5,76.6,76.7,76.7,76.7,76.6,76.1,74.9
"Sverige","Stugbyar",2614838,2563586,2574982,2343356,2305974,2092983,2175725,2300670,75.9,78.2,78.0,79.3,79.7,78.6,76.5,77.3
"Sverige","Vandrarhem",2155521,2223207,2245462,2328092,2365623,2393353,2545593,2708300,74.7,75.9,76.5,76.9,76.5,76.8,76.7,76.1
"Sverige","Camping",10726004,11209073,10920018,10948808,10699274,11223586,11646159,11873077,78.1,77.4,76.2,75.8,76.2,77.4,77.4,76.3
"Sverige","SoL",2594915,2814099,2887899,2665153,2629366,2577792,2633970,2855486,62.2,64.4,64.1,63.4,64.1,64.0,63.9,64.6
"Utlandet","Hotell",5830414,6087096,6363074,6532078,6650445,6874759,7421430,8401002,22.5,23.4,23.3,23.3,23.3,23.4,23.9,25.1
"Utlandet","Stugbyar",831319,715649,726130,612546,586556,569946,666976,674089,24.1,21.8,22.0,20.7,20.3,21.4,23.5,22.7
"Utlandet","Vandrarhem",728369,704684,691163,699979,726520,724721,771497,850642,25.3,24.1,23.5,23.1,23.5,23.2,23.3,23.9
"Utlandet","Camping",2998919,3267217,3404628,3499832,3335934,3273264,3400809,3687191,21.9,22.6,23.8,24.2,23.8,22.6,22.6,23.7
"Utlandet","SoL",1574896,1555011,1617837,1536182,1475144,1447555,1486878,1561727,37.8,35.6,35.9,36.6,35.9,36.0,36.1,35.4
